# ----------------------------------------
# Rutas de atribución de eventos clave
# Cuenta: www.assist-card.com
# Propiedad: Assist Card GA4 PROD
# ----------------------------------------
# 
# País coincide exactamente con Argentina
# Fecha de inicio: 20260501
# Fecha de finalización: 20260531
Ruta del grupo de canales principal,Eventos clave atribuidos a la ruta en función de los datos,Eventos clave,Ingresos derivados de las compras,Días hasta el evento clave,Puntos de contacto antes del evento clave
"[""Direct""]",NaN,3547,1497121.92,0,1
"[""Paid Search""]",NaN,1872,681079.07,2.327991452991453,1
"[""Paid Search"",""Paid Search""]",NaN,531,204380.809951,7.6403013182674195,2
"[""Email""]",NaN,413,163859.15,4.268765133171913,1
"[""Paid Social""]",NaN,365,150098.27,5.057534246575343,1
"[""Organic Search""]",NaN,341,128219.6,4.6950146627565985,1
"[""Referral""]",NaN,309,102028.16,3.530744336569579,1
"[""Cross-network""]",NaN,264,109402.99,5.492424242424242,1
"[""Paid Search"",""Paid Search"",""Paid Search""]",NaN,211,82879.649847,14.118483412322275,3
"[""Organic Social""]",NaN,166,62794.37,10.740963855421686,1
"[""Unassigned""]",NaN,151,47076.65,1.8940397350993377,1
"[""Email"",""Email""]",NaN,139,56923.689971,4.9352517985611515,2
"[""Organic Search"",""Organic Search""]",NaN,115,43828.049994,4.6695652173913045,2
"[""Referral"",""Referral""]",NaN,114,37876.409985,2.7982456140350878,2
"[""Email"",""Email"",""Email""]",NaN,87,32953.759904,6.873563218390805,3
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,84,32494.70994,13.285714285714286,4
"[""Paid Search"",""Organic Search""]",NaN,82,34178.609945,5.560975609756097,2
"[""Referral"",""Referral"",""Referral""]",NaN,60,17049.539931,1.65,3
"[""Organic Search"",""Paid Search""]",NaN,53,19533.979964,15.622641509433961,2
"[""Unassigned"",""Unassigned""]",NaN,47,14381.759992,5.574468085106383,2
"[""Organic Search"",""Organic Search"",""Organic Search""]",NaN,46,17377.899953,4.108695652173913,3
"[""Paid Search"",""Referral""]",NaN,42,12775.379969,9.619047619047619,2
